name,url,logo,category
University of Trento,https://unitn.it,unitn.jpg,platinum
Center for Computational Social Sciences and Human Dynamics,https://c2s2.unitn.it/,c2s2_logo.jpg
ISI Foundation,https://www.isi.it/,ISIFoundation_LOGO.png
CNR ISTC,https://istc.cnr.it/,LOGO_CNR.png 
