schedule,session,title,place,speaker
9:00 - 9:30,Welcome,
9:30 - 10:30,Keynote speech,Roberta Sinatra,,
10:30 - 11:00,,Coffee Break,,
11:00 - 12:00,Keynote speech,Alessandro Flammini,,
12:00 - 12:45,,Highlighted Talks,
12:45 - 14:00,,Lunch,,
14:00 - 15:00,Keynote speech,Milena Tsvetkova,,
15:00 - 15:45,,Highlighted Talks,,
15:45 - 16:15,,Coffee Break,,
16:15 - 17:00,,Highlighted Talks,,
17:00 - ,Association Assembly,,
