name,affiliation,location,website
Yelena Mejova, ISI Foundation, Italy,https://sites.google.com/site/yelenamejova/
Alberto Acerbi,University of Trento,Italy,https://acerbialberto.com/
Filippo Barbera, University of Torino - Collegio Carlo Alberto, Italy,https://www.carloalberto.org/person/filippo-barbera/
Francesca Colaiori,CNR,Italy,https://www.isc.cnr.it/staff-members/francesca-colaiori/
Manlio De Domenico, University of Padova, Italy,https://manliodedomenico.com/
Riccardo Gallotti, FBK, Italy,https://chub.fbk.eu/
Rossano Schifanella, University of Torino, Italy,http://www.di.unito.it/~schifane/
Flaminio Squazzoni, University of Milan, Italy,https://behavelab.org/flaminio-squazzoni/
Antonio Zinilli, CNR, Italy,https://www.ircres.cnr.it/team/zinilli-antonio/
