schedule,session,title,place,speaker
9:00 - 10:30,,Parallel Sessions,,
10:30 - 11:00,,Coffee Break,,
11:00 - 12:45,,Poster Session,,
12:45 - 14:00,,Lunch,,
14:00 - 15:45,,Parallel Sessions,,
15:45 - 16:15,,Coffee Break,,
16:15 - 18:00,,Parallel Sessions,,
18:00 -,,Closing Remarks,,
